case:concept:name,concept:name,Resource,Complete Timestamp,Variant,Variant index,Part_Desc_,Rework,Work_Order_Qty,label,Report_Type,Resource.1,Qty_Completed,Qty_for_MRB,activity_duration,timesincemidnight,month,weekday,hour,timesincelastevent,timesincecasestart,event_nr,open_cases
Case178,Round Grinding - Machine 3,ID4445,1/2/12 4:50,Variant 11,11,Cable Head,missing,250,regular,D,Machine 3 - Round Grinding,31,0,290,290,1,0,4,0,0,1,1
Case178,Round Grinding - Machine 2,ID4355,1/2/12 11:00,Variant 11,11,Cable Head,missing,250,regular,S,Machine 2 - Round Grinding,0,0,60,660,1,0,11,370,370,2,4
Case178,Grinding Rework - Machine 27,ID4872,1/11/12 23:47,Variant 11,11,Cable Head,missing,250,regular,D,Machine 27 - Grinding,0,0,56,1427,1,2,23,13727,14097,3,31
Case178,Grinding Rework - Machine 27,ID4872,1/15/12 13:30,Variant 11,11,Cable Head,missing,250,regular,D,Machine 27 - Grinding,0,0,322,810,1,6,13,5143,19240,4,29
Case178,Lapping - Machine 1,ID4882,1/15/12 15:12,Variant 11,11,Cable Head,missing,250,regular,D,Machine 1 - Lapping,0,0,299,912,1,6,15,102,19342,5,29
Case178,Lapping - Machine 1,ID0998,1/15/12 17:27,Variant 11,11,Cable Head,missing,250,regular,D,Machine 1 - Lapping,0,0,427,1047,1,6,17,135,19477,6,29
Case178,Grinding Rework - Machine 27,ID4872,1/16/12 10:47,Variant 11,11,Cable Head,missing,250,regular,D,Machine 27 - Grinding,0,0,230,647,1,0,10,1040,20517,7,30
Case178,other,ID4355,1/16/12 15:43,Variant 11,11,Cable Head,missing,250,regular,D,Machine 2 - Round Grinding,22,0,329,943,1,0,15,296,20813,8,31
Case178,other,ID4385,1/16/12 23:40,Variant 11,11,Cable Head,missing,250,regular,D,Machine 2 - Round Grinding,0,0,427,1420,1,0,23,477,21290,9,31
Case178,other,ID4528,1/17/12 6:37,Variant 11,11,Cable Head,missing,250,regular,D,other,0,0,405,397,1,1,6,417,21707,10,32
Case178,other,ID4355,1/17/12 16:03,Variant 11,11,Cable Head,missing,250,regular,D,Machine 2 - Round Grinding,0,0,550,963,1,1,16,566,22273,11,34
Case178,other,ID4355,1/19/12 10:52,Variant 11,11,Cable Head,missing,250,regular,D,Machine 2 - Round Grinding,20,0,241,652,1,3,10,2569,24842,12,35
Case178,Grinding Rework - Machine 27,ID4872,1/20/12 12:54,Variant 11,11,Cable Head,missing,250,regular,D,Machine 27 - Grinding,0,0,223,774,1,4,12,1562,26404,13,35
Case178,Grinding Rework - Machine 27,ID4872,1/23/12 16:18,Variant 11,11,Cable Head,missing,250,regular,D,Machine 27 - Grinding,0,0,9,978,1,0,16,4524,30928,14,35
Case178,Grinding Rework - Machine 27,ID4872,1/24/12 18:07,Variant 11,11,Cable Head,missing,250,regular,D,Machine 27 - Grinding,0,0,121,1087,1,1,18,1549,32477,15,34
Case178,Grinding Rework - Machine 27,ID4872,1/25/12 21:27,Variant 11,11,Cable Head,missing,250,regular,D,Machine 27 - Grinding,0,0,317,1287,1,2,21,1640,34117,16,33
Case178,Grinding Rework - Machine 27,ID4872,1/29/12 9:29,Variant 11,11,Cable Head,missing,250,regular,D,Machine 27 - Grinding,0,0,68,569,1,6,9,5042,39159,17,32
Case178,Grinding Rework - Machine 27,ID4872,1/30/12 7:30,Variant 11,11,Cable Head,missing,250,regular,D,Machine 27 - Grinding,0,0,18,450,1,0,7,1321,40480,18,30
Case178,Grinding Rework - Machine 27,ID4528,2/9/12 10:49,Variant 11,11,Cable Head,missing,250,regular,D,Machine 27 - Grinding,0,0,47,649,2,3,10,14599,55079,19,36
Case178,Grinding Rework - Machine 27,ID4872,2/16/12 16:10,Variant 11,11,Cable Head,missing,250,regular,D,Machine 27 - Grinding,0,0,299,970,2,3,16,10401,65480,20,30
Case178,Grinding Rework - Machine 27,ID4528,3/7/12 18:00,Variant 11,11,Cable Head,missing,250,regular,D,Machine 27 - Grinding,0,0,160,1080,3,2,18,28910,94390,21,21
Case178,Grinding Rework - Machine 27,ID4872,3/7/12 23:35,Variant 11,11,Cable Head,missing,250,regular,D,Machine 27 - Grinding,0,0,245,1415,3,2,23,335,94725,22,21
Case178,Grinding Rework - Machine 27,ID4528,3/8/12 15:55,Variant 11,11,Cable Head,missing,250,regular,D,Machine 27 - Grinding,0,0,528,955,3,3,15,980,95705,23,19
Case238,Turning & Milling - Machine 4,ID4794,1/2/12 7:00,Variant 12,12,Electrical Contact,missing,320,deviant,S,Machine 4 - Turning & Milling,0,0,360,420,1,0,7,0,0,1,2
Case238,Turning & Milling - Machine 4,ID4529,1/2/12 14:00,Variant 12,12,Electrical Contact,missing,320,deviant,S,Machine 4 - Turning & Milling,0,0,420,840,1,0,14,420,420,2,6
Case238,Turning & Milling - Machine 4,ID4529,1/2/12 16:00,Variant 12,12,Electrical Contact,missing,320,deviant,D,Machine 4 - Turning & Milling,10,0,120,960,1,0,16,120,540,3,8
Case238,Turning & Milling - Machine 4,ID4794,1/3/12 7:00,Variant 12,12,Electrical Contact,missing,320,deviant,D,Machine 4 - Turning & Milling,52,0,660,420,1,1,7,900,1440,4,16
Case238,Turning & Milling - Machine 4,ID4167,1/3/12 7:43,Variant 12,12,Electrical Contact,missing,320,deviant,D,Machine 4 - Turning & Milling,0,0,9,463,1,1,7,43,1483,5,16
Case238,Turning & Milling - Machine 4,ID4167,1/3/12 8:49,Variant 12,12,Electrical Contact,missing,320,deviant,S,Machine 4 - Turning & Milling,1,0,74,529,1,1,8,66,1549,6,16
Case238,Turning & Milling Q.C.,ID4618,1/3/12 9:11,Variant 12,12,Electrical Contact,missing,320,deviant,D,Quality Check 1,94,0,87,551,1,1,9,22,1571,7,16
Case238,Turning & Milling - Machine 4,ID4167,1/3/12 16:07,Variant 12,12,Electrical Contact,missing,320,deviant,D,Machine 4 - Turning & Milling,31,0,350,967,1,1,16,416,1987,8,17
Case238,Turning & Milling - Machine 4,ID4794,1/4/12 6:32,Variant 12,12,Electrical Contact,missing,320,deviant,D,Machine 4 - Turning & Milling,65,0,618,392,1,2,6,865,2852,9,16
Case238,Turning & Milling Q.C.,ID4618,1/4/12 7:29,Variant 12,12,Electrical Contact,missing,320,deviant,D,Quality Check 1,0,0,39,449,1,2,7,57,2909,10,16
Case238,Turning & Milling - Machine 4,ID4167,1/4/12 18:03,Variant 12,12,Electrical Contact,missing,320,deviant,D,Machine 4 - Turning & Milling,40,0,650,1083,1,2,18,634,3543,11,21
Case238,Turning & Milling - Machine 4,ID4794,1/4/12 20:18,Variant 12,12,Electrical Contact,missing,320,deviant,D,Machine 4 - Turning & Milling,0,0,11,1218,1,2,20,135,3678,12,21
Case238,Turning & Milling - Machine 4,ID4932,1/5/12 6:46,Variant 12,12,Electrical Contact,missing,320,deviant,D,Machine 4 - Turning & Milling,67,0,627,406,1,3,6,628,4306,13,21
Case238,Turning & Milling Q.C.,ID4618,1/5/12 9:23,Variant 12,12,Electrical Contact,missing,320,deviant,D,Quality Check 1,0,0,83,563,1,3,9,157,4463,14,20
Case238,Turning & Milling - Machine 4,ID4167,1/5/12 11:32,Variant 12,12,Electrical Contact,missing,320,deviant,D,Machine 4 - Turning & Milling,54,0,643,692,1,3,11,129,4592,15,19
Case187,Lapping - Machine 1,ID4882,1/2/12 9:30,Variant 13,13,Cable Head,missing,200,deviant,D,Machine 1 - Lapping,0,0,150,570,1,0,9,0,0,1,3
Case187,Round Grinding - Machine 3,ID4385,1/10/12 15:49,Variant 13,13,Cable Head,missing,200,deviant,S,Machine 3 - Round Grinding,0,0,144,949,1,1,15,11899,11899,2,29
Case187,Round Grinding - Machine 3,ID4355,1/10/12 20:04,Variant 13,13,Cable Head,missing,200,deviant,S,Machine 3 - Round Grinding,2,0,140,1204,1,1,20,255,12154,3,29
Case187,Round Grinding - Machine 3,ID4445,1/11/12 6:52,Variant 13,13,Cable Head,missing,200,deviant,D,Machine 3 - Round Grinding,33,0,647,412,1,2,6,648,12802,4,29
Case187,Round Grinding - Machine 3,ID4385,1/11/12 15:54,Variant 13,13,Cable Head,missing,200,deviant,D,Machine 3 - Round Grinding,25,0,537,954,1,2,15,542,13344,5,30
Case187,Round Grinding - Machine 3,ID4355,1/11/12 19:59,Variant 13,13,Cable Head,missing,200,deviant,D,Machine 3 - Round Grinding,10,0,245,1199,1,2,19,245,13589,6,30
Case187,Round Grinding - Machine 3,ID4445,1/12/12 6:44,Variant 13,13,Cable Head,missing,200,deviant,D,Machine 3 - Round Grinding,37,0,644,404,1,3,6,645,14234,7,30
Case187,Round Grinding - Machine 3,ID4385,1/12/12 15:51,Variant 13,13,Cable Head,missing,200,deviant,D,Machine 3 - Round Grinding,21,0,532,951,1,3,15,547,14781,8,30
Case187,Round Grinding - Machine 3,ID4872,1/12/12 23:42,Variant 13,13,Cable Head,missing,200,deviant,D,Machine 3 - Round Grinding,23,0,458,1422,1,3,23,471,15252,9,31
Case187,Round Grinding - Machine 3,ID4445,1/13/12 3:18,Variant 13,13,Cable Head,missing,200,deviant,D,Machine 3 - Round Grinding,7,0,177,198,1,4,3,216,15468,10,30
Case187,Lapping - Machine 1,ID4882,1/15/12 15:57,Variant 13,13,Cable Head,missing,200,deviant,D,Machine 1 - Lapping,0,0,43,957,1,6,15,3639,19107,11,29
Case187,Round Grinding - Machine 3,ID4445,1/15/12 16:09,Variant 13,13,Cable Head,missing,200,deviant,D,Machine 3 - Round Grinding,0,0,228,969,1,6,16,12,19119,12,29
Case187,Round Grinding - Machine 3,ID4385,1/15/12 23:39,Variant 13,13,Cable Head,missing,200,deviant,D,Machine 3 - Round Grinding,14,0,440,1419,1,6,23,450,19569,13,28
Case187,Round Grinding - Machine 3,ID4528,1/16/12 5:17,Variant 13,13,Cable Head,missing,200,deviant,D,Machine 3 - Round Grinding,8,0,344,317,1,0,5,338,19907,14,28
Case187,Round Grinding - Machine 3,ID4385,1/16/12 21:20,Variant 13,13,Cable Head,missing,200,deviant,D,Machine 3 - Round Grinding,0,0,112,1280,1,0,21,963,20870,15,31
Case187,Round Grinding - Machine 3,ID4385,1/16/12 23:40,Variant 13,13,Cable Head,missing,200,deviant,D,Machine 3 - Round Grinding,0,0,139,1420,1,0,23,140,21010,16,31
Case187,Final Inspection Q.C.,ID4493,1/19/12 16:02,Variant 13,13,Cable Head,missing,200,deviant,D,Quality Check 1,0,0,351,962,1,3,16,3862,24872,17,35
Case187,Final Inspection Q.C.,ID4493,1/22/12 16:01,Variant 13,13,Cable Head,missing,200,deviant,D,Quality Check 1,0,0,347,961,1,6,16,4319,29191,18,34
Case187,Final Inspection Q.C.,ID4493,1/23/12 16:01,Variant 13,13,Cable Head,missing,200,deviant,D,Quality Check 1,0,0,356,961,1,0,16,1440,30631,19,35
Case187,Final Inspection Q.C.,ID4493,1/24/12 15:52,Variant 13,13,Cable Head,missing,200,deviant,D,Quality Check 1,0,0,361,952,1,1,15,1431,32062,20,34
Case187,Packing,ID4820,1/25/12 1:00,Variant 13,13,Cable Head,missing,200,deviant,D,Packing,60,0,60,60,1,2,1,548,32610,21,34
Case187,Final Inspection Q.C.,ID4493,1/25/12 12:01,Variant 13,13,Cable Head,missing,200,deviant,D,Quality Check 1,60,0,120,721,1,2,12,661,33271,22,33
Case187,Final Inspection Q.C.,ID4493,1/27/12 8:00,Variant 13,13,Cable Head,missing,200,deviant,D,Quality Check 1,0,5,71,480,1,4,8,2639,35910,23,33
Case263,Turning & Milling - Machine 8,ID4219,1/2/12 11:00,Variant 14,14,Compound Dies,missing,18,regular,S,Machine 8 - Turning & Milling,0,0,120,660,1,0,11,0,0,1,4
Case263,Turning & Milling - Machine 8,ID4219,1/3/12 17:58,Variant 14,14,Compound Dies,missing,18,regular,S,Machine 8 - Turning & Milling,0,0,366,1078,1,1,17,1858,1858,2,18
Case263,Turning & Milling - Machine 8,ID4219,1/4/12 9:18,Variant 14,14,Compound Dies,missing,18,regular,S,Machine 8 - Turning & Milling,1,0,139,558,1,2,9,920,2778,3,17
Case263,Turning & Milling Q.C.,ID4287,1/4/12 10:00,Variant 14,14,Compound Dies,missing,18,regular,D,Quality Check 1,0,0,60,600,1,2,10,42,2820,4,17
Case263,Turning & Milling - Machine 8,ID4219,1/4/12 11:00,Variant 14,14,Compound Dies,missing,18,regular,B,Machine 8 - Turning & Milling,0,0,99,660,1,2,11,60,2880,5,19
Case263,Turning & Milling - Machine 8,ID4219,1/4/12 16:21,Variant 14,14,Compound Dies,missing,18,regular,D,Machine 8 - Turning & Milling,11,0,321,981,1,2,16,321,3201,6,21
Case263,Turning & Milling - Machine 8,ID4219,1/5/12 7:06,Variant 14,14,Compound Dies,missing,18,regular,D,Machine 8 - Turning & Milling,1,0,18,426,1,3,7,885,4086,7,21
Case263,Turning & Milling - Machine 8,ID0997,1/5/12 10:45,Variant 14,14,Compound Dies,missing,18,regular,D,Machine 8 - Turning & Milling,5,0,135,645,1,3,10,219,4305,8,20
Case263,Turning & Milling Q.C.,ID4287,1/5/12 11:30,Variant 14,14,Compound Dies,missing,18,regular,D,Quality Check 1,18,0,60,690,1,3,11,45,4350,9,20
Case263,Flat Grinding - Machine 11,ID0998,1/5/12 12:27,Variant 14,14,Compound Dies,missing,18,regular,D,Machine 11 - Grinding,18,0,41,747,1,3,12,57,4407,10,19
Case263,other,ID4287,1/16/12 15:00,Variant 14,14,Compound Dies,missing,18,regular,D,Quality Check 1,18,0,100,900,1,0,15,15993,20400,11,31
Case263,Laser Marking - Machine 7,ID0998,1/17/12 12:11,Variant 14,14,Compound Dies,missing,18,regular,D,Machine 7- Laser Marking,18,0,13,731,1,1,12,1271,21671,12,32
Case263,Lapping - Machine 1,ID0998,1/17/12 13:27,Variant 14,14,Compound Dies,missing,18,regular,D,Machine 1 - Lapping,18,0,40,807,1,1,13,76,21747,13,31
Case263,Final Inspection Q.C.,ID4287,1/18/12 9:00,Variant 14,14,Compound Dies,missing,18,regular,D,Quality Check 1,0,0,0,540,1,2,9,1173,22920,14,36
Case263,Round Grinding - Manual,ID4872,1/18/12 9:11,Variant 14,14,Compound Dies,missing,18,regular,S,Machine 27 - Grinding,0,0,62,551,1,2,9,11,22931,15,36
Case263,Round Grinding - Manual,ID4287,1/18/12 10:15,Variant 14,14,Compound Dies,missing,18,regular,D,Machine 27 - Grinding,0,0,75,615,1,2,10,64,22995,16,36
Case263,Final Inspection Q.C.,ID4287,1/18/12 12:50,Variant 14,14,Compound Dies,missing,18,regular,D,Quality Check 1,0,0,230,770,1,2,12,155,23150,17,35
Case263,Round Grinding - Manual,ID4872,1/18/12 15:45,Variant 14,14,Compound Dies,missing,18,regular,D,Machine 27 - Grinding,18,0,393,945,1,2,15,175,23325,18,36
Case263,Final Inspection Q.C.,ID4287,1/19/12 15:36,Variant 14,14,Compound Dies,missing,18,regular,D,Quality Check 1,0,0,279,936,1,3,15,1431,24756,19,35
Case263,Final Inspection Q.C.,ID4287,1/22/12 7:57,Variant 14,14,Compound Dies,missing,18,regular,D,Quality Check 1,18,0,31,477,1,6,7,3861,28617,20,33
Case263,Packing,other,1/23/12 1:00,Variant 14,14,Compound Dies,missing,18,regular,D,Packing,0,0,60,60,1,0,1,0,29640,21,32
Case263,Packing,other,1/23/12 1:00,Variant 14,14,Compound Dies,missing,18,regular,D,Packing,18,0,60,60,1,0,1,1023,29640,22,32
Case254,Laser Marking - Machine 7,ID0998,1/2/12 12:15,Variant 15,15,Spur Gear,missing,225,regular,D,Machine 7- Laser Marking,225,0,120,735,1,0,12,0,0,1,5
Case254,Flat Grinding - Machine 11,ID0998,1/2/12 16:00,Variant 15,15,Spur Gear,missing,225,regular,D,Machine 11 - Grinding,100,0,120,960,1,0,16,225,225,2,8
Case254,Flat Grinding - Machine 11,ID0998,1/3/12 18:23,Variant 15,15,Spur Gear,missing,225,regular,D,Machine 11 - Grinding,50,0,79,1103,1,1,18,1583,1808,3,18
Case254,Flat Grinding - Machine 11,ID4882,1/4/12 11:54,Variant 15,15,Spur Gear,missing,225,regular,D,Machine 11 - Grinding,75,0,86,714,1,2,11,1051,2859,4,19
Case254,Final Inspection Q.C.,ID4618,1/4/12 15:57,Variant 15,15,Spur Gear,missing,225,regular,D,Quality Check 1,0,0,31,957,1,2,15,243,3102,5,20
Case254,Packing,ID4820,1/6/12 1:00,Variant 15,15,Spur Gear,missing,225,regular,D,Packing,225,0,60,60,1,4,1,1983,5085,6,20
Case254,Final Inspection Q.C.,ID4618,1/6/12 10:25,Variant 15,15,Spur Gear,missing,225,regular,D,Quality Check 1,225,0,1,625,1,4,10,565,5650,7,20
Case188,Lapping - Machine 1,ID4882,1/2/12 12:50,Variant 16,16,Punch Holder,missing,350,deviant,D,Machine 1 - Lapping,0,0,30,770,1,0,12,0,0,1,6
Case188,Laser Marking - Machine 7,ID0998,1/2/12 14:00,Variant 16,16,Punch Holder,missing,350,deviant,D,Machine 7- Laser Marking,144,0,105,840,1,0,14,70,70,2,6
Case188,Lapping - Machine 1,ID4882,1/2/12 16:00,Variant 16,16,Punch Holder,missing,350,deviant,D,Machine 1 - Lapping,0,0,160,960,1,0,16,120,190,3,8
